1749468000000,107440.53,107610,107413.8,107500
1749468300000,107517.24,107580,107450.7,107500
1749468600000,107485,107553.94,107422.26,107448.9
1749468900000,107448.91,107749.55,107448.91,107687
1749469200000,107736.55,107880,107686.9,107787.41
1749469500000,107787.4,107830,107629,107658.88
1749469800000,107658.88,107710,107609.7,107649.39
1749470100000,107649.38,107841.03,107632.8,107817.21
1749470400000,107741.4,107890,107741.3,107816.36
1749470700000,107816.36,107860,107639.75,107686.21
1749471000000,107686.23,107715,107590,107618.56
1749471300000,107618.56,107772.99,107600,107680.4
1749471600000,107680.39,107740,107608.37,107632.72
1749471900000,107631.44,107670,107589.96,107623.65
1749472200000,107623.65,107757.81,107614.7,107703.4
1749472500000,107743.69,107862,107715.8,107840.41
1749472800000,107840.42,107970,107799.9,107965.81
1749473100000,107965.81,108000,107814.4,107814.5
1749473400000,107814.4,107880,107762.3,107829.35
1749473700000,107828.6,107900,107765.86,107829.9
1749474000000,107829.9,107914.37,107760.5,107900.25
1749474300000,107900.25,107964.39,107724.2,107742
1749474600000,107741.99,107780,107673.47,107717.77
1749474900000,107719.21,107751.34,107701.7,107736.08
1749475200000,107706.6,107742.95,107656.01,107656.01
1749475500000,107700,107700,107521.11,107571.61
1749475800000,107525.1,107816.04,107525.1,107713.9
1749476100000,107737.2,107740.06,107229.22,107344.8
1749476400000,107340.24,107561.88,107300.1,107488.08
1749476700000,107488.08,107524.02,107309.1,107367.39
1749477000000,107367.39,107370.57,107100.01,107119.75
1749477300000,107147.7,107190,106920.32,107074.91
1749477600000,107150,107360,107073.61,107277.09
1749477900000,107277.08,107382.2,107186.12,107344.02
1749478200000,107344.01,107544,107312.85,107477.27
1749478500000,107476.07,107562.02,107407.43,107500
1749478800000,107555.02,107780,107499.9,107714.04
1749479100000,107713.53,107740,107605.41,107632.98
1749479400000,107632.99,107920.94,107618.8,107870.15
1749479700000,107865.88,107966.04,107793.38,107875.01
1749480000000,107875.02,107955.51,107771.86,107908
1749480300000,107897.4,108090.42,107746.56,107796.66
1749480600000,107796.65,107830,107583.67,107589.7
1749480900000,107600.75,107680.59,107570,107678.77
1749481200000,107628,107715.53,107571.26,107703.49
1749481500000,107683.8,107922.81,107675.04,107903.84
1749481800000,107903.83,108091.2,107900,107919.04
1749482100000,107962,107962,107783.39,107835.85
1749482400000,107835.82,107939.2,107781.01,107900.03
1749482700000,107900.49,108068.05,107856.03,108010.56
1749483000000,108010.6,108054.47,107908.22,107923.9
1749483300000,107921.55,108010,107783.6,107835.55
1749483600000,107835.55,107854.9,107764.01,107787
1749483900000,107787,107934.89,107777.1,107896.65
1749484200000,107896.66,107947.01,107835.37,107878.2
1749484500000,107878.2,107915.29,107689.59,107689.6
1749484800000,107726.1,107918,107693,107911.62
1749485100000,107911.62,107999.99,107890.94,107922.77
1749485400000,107922.76,107986.16,107819,107936.03
1749485700000,107934.77,107995.95,107808.59,107985.88
1749486000000,107978.94,108091.47,107945.77,108055.82
1749486300000,108055.82,108090,107868.7,108005.1
1749486600000,108005.1,108106,107955.6,108064.03
1749486900000,108041.3,108101.06,108009.21,108091.5
1749487200000,108091.51,108135.02,107971.03,108021.96
1749487500000,108021.96,108041.11,107900.07,108010.04
1749487800000,108010.04,108228.72,107859,107945.73
1749488100000,107945.74,107999.51,107730.2,107778.93
1749488400000,107768.5,108055,107725.51,108033.1
1749488700000,108033.1,108201.43,107979.2,108165.95
1749489000000,108165.96,108370,108011.53,108300
1749489300000,108300,108382.25,108244.85,108264.03
1749489600000,108264.02,108390,108238.47,108358.71
1749489900000,108348.1,108443.99,108347.33,108397.27
1749490200000,108397.27,108417.94,108264.41,108295.3
1749490500000,108325.1,108415.35,108220.07,108327.1
1749490800000,108408.41,108430.99,108312,108361.7
1749491100000,108361.7,108499.99,108272.06,108470
1749491400000,108462.01,108481.91,108326.31,108405.04
1749491700000,108405.06,108480,108368.97,108416.31
1749492000000,108400,108490.14,108399.9,108440
1749492300000,108424.36,108559.63,108354.93,108540.04
1749492600000,108540.03,108600,108394.15,108526.61
1749492900000,108526.61,108599.07,108499.9,108560.39
1749493200000,108553.98,108595.98,108462.41,108580.05
1749493500000,108580.05,108630.85,108480.5,108540
1749493800000,108505.61,108577.28,108472.01,108508.46
1749494100000,108508.45,108581.75,108458.67,108461.52
1749494400000,108535,108535.1,108371,108437.96
1749494700000,108437.96,108446.98,108350.03,108405.53
1749495000000,108413.47,108487.9,108374.96,108413.78
1749495300000,108409.19,108557.28,108402.37,108517.51
1749495600000,108521.2,108657,108487.52,108590
1749495900000,108567.17,108641.61,108550.1,108577.89
1749496200000,108577.89,108621.64,108553.1,108589.51
1749496500000,108596.9,108655,108559.81,108620.6
1749496800000,108649.55,108858.82,108567.41,108649.67
1749497100000,108649.67,108837.41,108555.55,108750.29
1749497400000,108750.28,108770,108586.17,108633.57
1749497700000,108633.56,108691.58,108591.1,108619.3
1749498000000,108591.2,108666.2,108517.3,108530.61
1749498300000,108536.89,108694,108425.3,108659.52
1749498600000,108659.52,108701.23,108510.38,108510.39
1749498900000,108510.41,108719.99,108474.51,108679.24
1749499200000,108647.2,108720,108616.71,108648.6
1749499500000,108670.03,108793.12,108647.2,108742.11
1749499800000,108754.97,108780,108514.1,108542.16
1749500100000,108542.16,108738.64,108514,108684.44
1749500400000,108684.38,108738.84,108629.3,108687.44
1749500700000,108687.45,108770.12,108680.7,108770.12
1749501000000,108770.09,108828.63,108720.8,108802.74
1749501300000,108802.74,108802.74,108727.1,108778.31
1749501600000,108778.31,108813.81,108733.45,108735.61
